"","Plot","UTM.E","UTM.N","Slope","Aspect","Super.Plot","northness"
"1","PPW1301","526265","4270350",26,350,1,0.431711304054736
"2","PPW1302","525447","4269576",17,248,0,-0.109524368317387
"3","PPW1303","526143","4269065",20,137,0,-0.250137697849547
"4","PPW1304","525944","4269218",25,201,0,-0.394548137041388
"5","PPW1305","526058","4269630",34,28,0,0.49373802806329
"6","PPW1306","526022","4270886",15,20,0,0.243210346801694
"7","PPW1307","525888","4270668",28.5,46,1,0.331462326852175
"8","PPW1308","522747","4273140",14,12,0,0.236635321745789
"9","PPW1309","522830","4273334",10.5,234,1,-0.107115354328053
"10","PPW1310","522783","4273545",25,351,1,0.417415129643873
"11","PPW1311","522491","4273327",33,261,0,-0.0852003160826034
"12","PPW1312","522503","4272837",21,328,1,0.303913257335374
"13","PPW1313","522844","4272670",34,36,0,0.452396562041704
"14","PPW1314","523238","4272549",23,238,0,-0.207055952122046
"15","PPW1315","524734","4271564",15,337,1,0.238244187182796
"16","PPW1316","524769","4271725",34,189,0,-0.552308310901599
"17","PPW1317","524778","4271596",25,224,0,-0.304006136020023
"18","PPW1318","524608","4271846",26,205,0,-0.397299183947127
"19","PPW1319","524509","4271779",21,354,0,0.356404772421034
"20","PPW1320","524372","4269329",23.5,129,0,-0.250940919986794
"21","PPW1321","524739","4269591",28.5,224,1,-0.343239287334985
"22","PPW1322","525084","4269552",8,118,1,-0.0653378132054804
"23","PPW1323","523282","4272416",11.5,259,0,-0.0380411952764424
"24","PPW1324","523801","4272002",14.5,24,1,0.228733515388471
"25","PPW1325","526466","4270806",15,35,1,0.212012149896655
"26","PPW1326","525165","4271385",25.5,37,0,0.343821449380512
"27","PPW1327","522912","4268880",17.5,186,0,-0.299058501671222
"28","PPW1328","524420","4269661",14,151,0,-0.211589657479989
"29","PPW1329","524086","4271800",22,356,0,0.373694070582012
"30","PPW1330","523769","4271472",24,320,0,0.311578345241084
"31","PPW1331","523503","4271813",24,27,0,0.362405002607013
"32","PPW1332","524968","4271278",24,331,1,0.355739883649817
"33","PPW1333","525153","4271310",26,147,0,-0.367648978648483
"34","PPW1334","524885","4271274",29,334,0,0.435744000265968
"35","PPW1335","525087","4271051",16,331,1,0.241077863421341
"36","PPW1336","525463","4271059",24,238,0,-0.215537582635412
"37","PPW1337","526102","4271193",6.5,90,0,6.93169766970303e-18
"38","PPW1338","524949","4269709",13,219,1,-0.174819803408822
"39","PPW1339","524901","4269863",28,246,1,-0.190951287467083
"40","PPW1340","527205","4269284",9.5,205,1,-0.149583930423288
"41","PPW1341","527127","4269502",14,205,0,-0.219255697836646
"42","PPW1342","527278","4269582",7,65,0,0.0515042100693638
"43","PPW1343","522956","4273410",26.5,352,0,0.441855446664962
"44","PPW1344","522872","4272878",24,210,1,-0.352244265553647
"45","PPW1345","523405","4272225",24,78,0,0.0845653031794291
"46","PPW1346","524575","4270822",24,316,0,0.292581855620559
"47","PPW1347","523087","4268719",25,5,0,0.421010071662834
"48","PPW1348","523389","4269026",24,327,0,0.341118051452597
"49","PPW1349","526499","4270456",11,53,1,0.114831719970154
"50","PPW1350","523424","4269090",26.5,318,0,0.331589595951884
"51","PPW1851","4269561","527198",45,214,0,-0.586218089412104
"52","PPW1852","4269686","527365",22,24,1,0.342220151818075
"53","PPW1853","4269624","527387",30,80,0,0.0868240888334652
"54","PPW1854","4269508","527310",35,130,0,-0.368687826494612
